Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
313,Dylan Cardwell,24,SAC,C,38,1,771,15.3,.572,.007,.331,17.3,24.3,20.7,9.1,1.6,6.1,15.5,11.1,1.1,0.7,1.9,.116,-2.6,0.4,-2.2,0.0,,cardwdy01
314,Kenrich Williams,31,OKC,PF,50,2,757,14.3,.589,.444,.202,7.0,15.3,11.3,12.1,1.9,0.7,12.3,17.6,0.8,1.4,2.2,.138,0.1,0.6,0.7,0.5,,willike04
315,Javon Small,23,MEM,PG,38,10,753,16.3,.616,.478,.289,4.4,12.8,8.6,26.7,2.0,1.1,14.9,18.5,1.4,0.5,2.0,.125,1.5,-0.4,1.2,0.6,,smallja01
316,Micah Potter,27,IND,C,40,3,744,16.9,.686,.582,.353,6.3,20.0,13.0,10.8,1.1,1.6,11.3,17.3,1.7,0.5,2.2,.141,1.5,-0.7,0.8,0.5,,pottemi01
317,Jabari Walker,23,PHI,PF,60,6,742,12.3,.561,.448,.305,10.2,17.4,13.7,6.1,1.5,1.6,9.8,15.0,0.8,0.7,1.6,.101,-2.2,-0.7,-2.8,-0.2,,walkeja01
318,Ben Saraf,19,BRK,SG,38,7,742,7.1,.473,.297,.289,2.4,9.3,5.6,25.3,2.2,0.6,23.8,20.7,-1.5,0.4,-1.0,-0.066,-6.1,-1.6,-7.7,-1.1,,sarafbe01
319,Julian Strawther,23,DEN,SG,51,12,740,11.9,.576,.472,.232,1.9,12.9,7.7,9.7,1.4,0.5,9.3,19.1,0.5,0.5,1.0,.063,-1.7,-1.1,-2.8,-0.2,,strawju01
320,Jalen Pickett,26,DEN,SG,46,18,739,10.4,.546,.556,.073,2.9,13.0,8.1,18.3,0.9,0.5,12.4,14.2,0.6,0.4,1.0,.064,-1.1,-1.0,-2.0,0.0,,pickeja02
321,Noah Penda,21,ORL,SF,54,2,734,11.8,.518,.449,.242,10.1,18.0,14.0,12.1,2.0,2.2,16.1,15.1,0.2,0.9,1.1,.072,-1.8,0.5,-1.4,0.1,,pendano01
322,Anthony Gill,33,WAS,PF,48,2,734,12.5,.647,.222,.156,6.9,11.9,9.4,9.9,1.7,2.1,16.0,12.1,0.8,0.2,1.0,.068,-2.1,-1.0,-3.0,-0.2,,gillan01
323,Steven Adams,32,HOU,C,32,11,730,15.8,.535,.000,.583,22.2,19.6,20.9,8.4,1.5,2.5,16.7,12.1,1.1,1.0,2.1,.139,-0.2,-0.4,-0.6,0.3,,adamsst01
324,Micah Peavy,24,NOP,SG,55,1,728,8.0,.434,.394,.082,5.9,8.5,7.2,8.8,2.2,0.8,5.9,14.6,-0.2,0.4,0.1,.009,-4.6,-0.9,-5.5,-0.6,,peavymi01
325,Lonzo Ball,28,CLE,PG,35,3,728,9.5,.432,.835,.119,3.9,17.2,10.5,22.6,3.0,1.2,21.9,13.7,-0.4,1.1,0.7,.043,-2.9,1.8,-1.1,0.2,,balllo01
326,Kyle Anderson,32,3TM,SF,37,3,723,12.9,.574,.053,.361,4.9,13.9,9.4,18.5,2.4,2.6,15.5,13.3,0.7,0.6,1.4,.090,-1.8,1.4,-0.3,0.3,,anderky01
326,Kyle Anderson,32,UTA,SF,20,0,401,14.3,.565,.046,.349,5.0,13.0,8.9,20.9,2.7,2.4,11.9,14.7,0.5,0.2,0.7,.088,-0.9,0.7,-0.2,0.2,,anderky01
326,Kyle Anderson,32,MEM,SF,4,3,89,15.1,.821,.053,.421,3.6,13.5,8.5,4.9,3.2,4.2,23.7,13.8,0.1,0.1,0.2,.110,-2.6,1.4,-1.1,0.0,,anderky01
326,Kyle Anderson,32,MIN,SF,13,0,233,9.6,.483,.073,.366,5.3,15.6,10.6,19.6,1.6,2.3,20.1,10.8,0.1,0.3,0.4,.085,-2.9,2.6,-0.2,0.1,,anderky01
327,Quenton Jackson,27,IND,PG,42,12,719,13.8,.600,.377,.365,3.4,10.7,7.0,20.5,1.5,0.7,14.8,20.3,0.7,0.3,1.0,.068,-1.1,-1.0,-2.1,0.0,,jacksqu01
328,Jevon Carter,30,2TM,PG,45,1,719,11.0,.537,.719,.070,1.8,9.8,5.8,14.2,2.1,1.1,10.0,18.2,0.1,0.6,0.7,.048,-1.3,0.0,-1.3,0.1,,carteje01
328,Jevon Carter,30,CHI,PG,23,0,254,12.4,.577,.757,.097,2.1,8.7,5.4,10.4,2.4,0.7,9.3,19.5,0.1,0.2,0.3,.058,-0.7,-0.3,-1.0,0.1,,carteje01
328,Jevon Carter,30,ORL,PG,22,1,465,10.3,.512,.695,.054,1.7,10.5,6.0,16.2,2.0,1.4,10.5,17.4,-0.1,0.5,0.4,.042,-1.6,0.2,-1.4,0.1,,carteje01
329,Jonathan Kuminga,23,2TM,PF,31,14,715,13.7,.551,.288,.378,7.0,21.6,14.2,15.4,1.1,1.3,16.0,23.6,-0.1,0.8,0.7,.049,-2.0,-0.7,-2.7,-0.1,,kuminjo01
329,Jonathan Kuminga,23,GSW,PF,20,13,476,12.5,.543,.273,.340,6.7,20.9,13.7,15.8,0.8,1.2,17.1,23.9,-0.2,0.5,0.2,.024,-2.5,-1.1,-3.6,-0.2,,kuminjo01
329,Jonathan Kuminga,23,ATL,PF,11,1,239,16.1,.567,.319,.457,7.6,23.0,15.2,14.5,1.8,1.5,13.7,22.9,0.2,0.3,0.5,.099,-1.0,0.1,-0.9,0.1,,kuminjo01
330,Jalen Wilson,25,BRK,PF,48,1,707,8.3,.534,.597,.307,1.9,13.0,7.1,6.9,1.3,0.3,9.6,17.9,-0.1,0.3,0.2,.011,-3.4,-2.0,-5.4,-0.6,,wilsoja03
331,Jalen Green,23,PHO,SG,27,22,703,15.5,.517,.457,.166,2.1,14.5,8.1,18.7,2.0,0.4,10.5,32.3,-0.3,0.8,0.4,.030,0.2,-1.1,-0.9,0.2,,greenja05
332,Nick Richards,28,2TM,C,48,6,701,12.0,.562,.090,.502,11.8,25.6,18.7,3.2,0.7,4.1,19.4,18.3,-0.2,0.8,0.6,.040,-4.9,-1.2,-6.1,-0.7,,richani01
332,Nick Richards,28,PHO,C,28,2,254,11.5,.534,.000,.394,14.8,25.3,19.9,4.4,0.8,5.3,23.1,18.1,-0.2,0.4,0.2,.039,-6.0,-0.8,-6.8,-0.3,,richani01
332,Nick Richards,28,CHI,C,20,4,447,12.3,.577,.138,.562,10.2,25.8,18.1,2.5,0.6,3.5,17.3,18.4,-0.1,0.4,0.4,.041,-4.2,-1.5,-5.7,-0.4,,richani01
333,Tyler Kolek,24,NYK,PG,59,1,694,12.1,.527,.462,.076,2.4,12.7,7.5,31.2,1.5,0.6,17.8,18.2,0.5,0.8,1.2,.086,-1.1,0.2,-0.8,0.2,,kolekty01
334,Carter Bryant,20,SAS,PF,64,0,693,9.2,.505,.578,.165,4.6,19.2,12.1,6.4,0.9,2.2,9.5,16.6,-0.1,1.0,0.9,.063,-3.7,-0.1,-3.8,-0.3,,bryanca01
335,Daeqwon Plowden,27,SAC,SG,26,4,670,10.0,.561,.656,.161,4.2,9.1,6.6,6.0,1.3,0.5,7.2,16.0,0.5,0.0,0.5,.035,-2.7,-2.3,-5.1,-0.5,,plowdda01
336,Jaden Ivey,23,2TM,SG,37,5,670,13.1,.571,.523,.184,4.0,10.9,7.5,14.0,1.6,2.0,12.9,19.7,0.5,0.9,1.3,.097,-0.2,0.2,0.0,0.3,,iveyja01
336,Jaden Ivey,23,DET,SG,33,2,555,12.7,.570,.514,.173,3.9,10.5,7.2,13.1,1.3,2.1,12.9,20.3,0.4,0.7,1.1,.094,-0.1,0.1,0.0,0.3,,iveyja01
336,Jaden Ivey,23,CHI,SG,4,3,115,14.9,.576,.583,.250,4.7,12.8,8.8,18.6,3.3,1.5,13.1,16.7,0.1,0.1,0.3,.111,-0.7,0.7,0.0,0.1,,iveyja01
337,Kristaps Porziņģis,30,2TM,C,28,19,668,21.0,.594,.419,.410,5.3,17.3,11.2,17.2,1.2,4.9,7.9,27.9,1.4,0.9,2.3,.164,2.8,0.7,3.5,0.9,,porzikr01
337,Kristaps Porziņģis,30,ATL,C,17,12,413,20.7,.592,.410,.386,5.4,17.6,11.4,16.6,1.0,4.9,6.1,26.4,1.0,0.5,1.5,.177,2.7,0.9,3.6,0.6,,porzikr01
337,Kristaps Porziņģis,30,GSW,C,11,7,255,21.5,.596,.434,.449,5.1,16.9,10.9,18.0,1.5,5.0,10.4,30.2,0.4,0.3,0.8,.145,3.1,0.2,3.3,0.3,,porzikr01
338,Thomas Bryant,28,CLE,C,57,0,667,16.9,.612,.490,.257,8.7,21.9,15.3,6.5,1.3,3.4,9.2,19.2,1.1,0.9,2.0,.145,0.3,-0.7,-0.4,0.3,,bryanth01
